Compound,RT,Filename,Area,m/z (Apex),ISTD Response,Actual RT,RT Delta,m/z (Expected),m/z (Delta)
Tris(2-chloroethyl) phosphate,9.22,P16_B_001,149737,248.98402,5455441,10.53,1.31,<multiple>,-1.81920 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P16_D1_001,7307,248.98448,4601497,8.07,-1.15,<multiple>,.01932 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P16_D2_001,223,248.9854,N/F,8.73,-0.49,<multiple>,3.69637 (ppm)
Tris(2-chloroethyl) phosphate,9.22,P16_D3_001,251819,N/A,3687796,10.53,1.31,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,QCB_001,11796,N/A,6299443,8.1,-1.12,<multiple>,N/A
Tris(2-chloroethyl) phosphate,9.22,QCP_001,93420,248.98465,5292044,10.55,1.33,<multiple>,.69345 (ppm)
Tris(2-chloroethyl) phosphate,9.22,SolventBlank_001,333,248.98532,N/F,8.06,-1.16,<multiple>,3.38995 (ppm)
Tris(2-chloroethyl) phosphate,9.22,SolventBlank_002,231,248.98509,N/F,7.98,-1.24,<multiple>,2.47069 (ppm)
Tris(2-chloroethyl) phosphate,9.22,Spk2_001,460,248.98503,2890028,8.1,-1.12,<multiple>,2.22555 (ppm)
Tris(2-chloroethyl) phosphate-d12,10.35,Blk_001,N/F,N/F,3968217,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,P12_B_001,267612,N/A,6973854,10.98,0.63,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P12_D1_001,2130476,N/A,6306157,10.97,0.62,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P12_D2_001,N/F,N/F,5854375,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,P12_D3_001,3327218,N/A,6321116,10.97,0.62,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P14_B_001,60891,N/A,5653277,11,0.65,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P14_D1_001,N/F,N/F,5548788,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,P14_D2_001,74416,N/A,4391306,11,0.65,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P14_D3_001,662190,N/A,4577212,10.98,0.63,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P14_D3_002,719293,N/A,3966503,10.97,0.62,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P15_B_001,282643,N/A,4199472,10.99,0.64,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P15_D1_001,5109230,N/A,4186286,10.97,0.62,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P15_D2_001,57305,N/A,3600742,11,0.65,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P15_D3_001,1434936,N/A,5081949,10.97,0.62,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P16_B_001,N/F,N/F,5455441,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,P16_D1_001,4541694,N/A,4601497,10.97,0.62,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,P16_D2_001,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,P16_D3_001,N/F,N/F,3687796,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,QCB_001,115289,N/A,6299443,10.98,0.63,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,QCP_001,1006728,N/A,5292044,10.98,0.63,<multiple>,N/A
Tris(2-chloroethyl) phosphate-d12,10.35,SolventBlank_001,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,SolventBlank_002,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Tris(2-chloroethyl) phosphate-d12,10.35,Spk2_001,N/F,N/F,2890028,N/F,N/F,<multiple>,N/F
Tris(2-chloropropyl) phosphate,9.65,Blk_001,N/F,N/F,3968217,N/F,N/F,<multiple>,N/F
Tris(2-chloropropyl) phosphate,9.65,P12_B_001,22892,174.99222,6973854,9.27,-0.38,<multiple>,.10296 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P12_D1_001,41200,174.99213,6306157,9.28,-0.37,<multiple>,-.42022 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P12_D2_001,16305,174.9924,5854375,9.27,-0.38,<multiple>,1.14933 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P12_D3_001,17261,174.99216,6321116,9.28,-0.37,<multiple>,-.24583 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P14_B_001,15422,174.99223,5653277,9.27,-0.38,<multiple>,.19016 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P14_D1_001,29154,174.9922,5548788,9.27,-0.38,<multiple>,.01577 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P14_D2_001,27537,174.99217,4391306,9.27,-0.38,<multiple>,-.15863 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P14_D3_001,13432,174.99216,4577212,9.27,-0.38,<multiple>,-.24583 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P14_D3_002,11726,174.99214,3966503,9.27,-0.38,<multiple>,-.33302 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P15_B_001,16455,174.99219,4199472,9.27,-0.38,<multiple>,-.07143 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P15_D1_001,13936,174.99211,4186286,9.27,-0.38,<multiple>,-.50742 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P15_D2_001,9713,174.99216,3600742,9.27,-0.38,<multiple>,-.24583 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P15_D3_001,21605,174.99213,5081949,9.26,-0.39,<multiple>,-.42022 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P16_B_001,78674,174.99216,5455441,9.26,-0.39,<multiple>,-.24583 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P16_D1_001,9270,174.99219,4601497,9.27,-0.38,<multiple>,-.07143 (ppm)
Tris(2-chloropropyl) phosphate,9.65,P16_D2_001,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Tris(2-chloropropyl) phosphate,9.65,P16_D3_001,4098,174.99226,3687796,9.27,-0.38,<multiple>,.36455 (ppm)
Tris(2-chloropropyl) phosphate,9.65,QCB_001,10731,174.992,6299443,9.26,-0.39,<multiple>,-1.11780 (ppm)
Tris(2-chloropropyl) phosphate,9.65,QCP_001,7116,174.99222,5292044,9.28,-0.37,<multiple>,.10296 (ppm)
Tris(2-chloropropyl) phosphate,9.65,SolventBlank_001,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Tris(2-chloropropyl) phosphate,9.65,SolventBlank_002,N/F,N/F,N/F,N/F,N/F,<multiple>,N/F
Tris(2-chloropropyl) phosphate,9.65,Spk2_001,685,N/A,2890028,9.27,-0.38,<multiple>,N/A
