"INCHIKEY","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"QBOFNNDGXMMAOI-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
"QBSZVMLDNVHDKB-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Delta valerolactones","Delta valerolactones",NA,NA,NA,NA,NA
"QBTPSJBCRQLPLW-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azaphilones",NA,"Azaphilones",NA,NA,NA,NA,NA
"QBUIDYLGKMWNEA-UHFFFAOYSA-O","Completed","Organic compounds","Alkaloids and derivatives","Protoberberine alkaloids and derivatives",NA,"Protoberberine alkaloids and derivatives",NA,NA,NA,NA,NA
"QBVUKWXEFSHJOQ-MOYSMJPMNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Phosphatidylethanolamines",NA,NA,NA,NA,NA
"QCDBYUUEYOONDY-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isochromanequinones",NA,"Isochromanequinones",NA,NA,NA,NA,NA
"QCDQDISRALTLNQ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Sulfanilides","Sulfanilides",NA,NA,NA,NA,NA
"QCHFTSOMWOSFHM-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives",NA,NA,"Alkaloids and derivatives",NA,NA,NA,NA,NA
"QCKCJABEPSOSMR-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins",NA,NA,NA,NA,NA
"QCTMYNGDIBTNSK-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins",NA,NA,NA,NA,NA
"QCZUWKYBDIHUEP-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","2,2-dimethyl-1-benzopyrans",NA,NA,NA,NA,NA
"QDGYPYFSHOUVLE-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",NA,NA,NA,NA,NA
"QDQJWSSPAMZRIA-AIWMZPBQSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Quassinoids",NA,NA,NA,NA,NA
"QDRJMAHGAQYRIN-PKKQLAOCNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",NA,NA,NA,NA,NA
"QDSDUIWGMCGLHI-VTULTLKESA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins",NA,"Tannins",NA,NA,NA,NA,NA
"QDUKVMNUAQTMQW-UHFFFAOYSA-N","Completed","Organic compounds","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl sulfonic acid and derivatives","Perfluoroalkyl sulfonamides",NA,NA,NA,NA
"QDWGYCCSJIYJAE-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","2-arylbenzofuran flavonoids",NA,"2-arylbenzofuran flavonoids",NA,NA,NA,NA,NA
"QDYWROGINJISOM-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",NA,NA,NA,NA,NA
"QEASJVYPHMYPJM-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azoles","Triazoles","Triazolones",NA,NA,NA,NA,NA
"QEEBRPGZBVVINN-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Bufanolides and derivatives",NA,NA,NA,NA,NA
